type,Country/Region,Lat,Long,4/23/20,type
node,Luxembourg,49.8153,6.1296,3665,node
node,Madagascar,-18.7669,46.8691,121,node
node,Malaysia,2.5,112.5,5603,node
node,Maldives,3.2028,73.2207,108,node
node,Malta,35.9375,14.3754,445,node
node,Mauritania,21.0079,10.9408,7,node
node,Mauritius,-20.2,57.5,331,node
node,Mexico,23.6345,-102.5528,11633,node
node,Moldova,47.4116,28.3699,2926,node
node,Monaco,43.7333,7.4167,94,node
node,Mongolia,46.8625,103.8467,36,node
node,Montenegro,42.5,19.3,316,node
node,Morocco,31.7917,-7.0926,3568,node
node,Namibia,-22.9576,18.4904,16,node
node,Nepal,28.1667,84.25,48,node
node,Netherlands,12.5186,-70.0358,100,node
node,Netherlands,12.1696,-68.99,14,node
node,Netherlands,18.0425,-63.0548,73,node
node,Netherlands,52.1326,5.2913,35729,node
node,New Zealand,-40.9006,174.886,1456,node
node,Nicaragua,12.8654,-85.2072,11,node
node,Niger,17.6078,8.0817,671,node
node,Nigeria,9.082,8.6753,981,node
node,North Macedonia,41.6086,21.7453,1300,node
node,Norway,60.472,8.4689,7401,node
node,Oman,21.0,57.0,1716,node
node,Pakistan,30.3753,69.3451,11155,node
node,Panama,8.538,-80.7821,5166,node
node,Papua New Guinea,-6.315,143.9555,8,node
node,Paraguay,-23.4425,-58.4438,213,node
node,Peru,-9.19,-75.0152,20914,node
node,Philippines,13.0,122.0,6981,node
node,Poland,51.9194,19.1451,10511,node
node,Portugal,39.3999,-8.2245,22353,node
node,Qatar,25.3548,51.1839,7764,node
node,Romania,45.9432,24.9668,10096,node
node,Russia,60.0,90.0,62773,node
node,Rwanda,-1.9403,29.8739,154,node
node,Saint Lucia,13.9094,-60.9789,15,node
node,Saint Vincent and the Grenadines,12.9843,-61.2872,13,node
node,San Marino,43.9424,12.4578,501,node
node,Saudi Arabia,24.0,45.0,13930,node
node,Senegal,14.4974,-14.4524,479,node
node,Serbia,44.0165,21.0059,6630,node
node,Seychelles,-4.6796,55.492,11,node
node,Singapore,1.2833,103.8333,11178,node
node,Slovakia,48.669,19.699,1325,node
node,Slovenia,46.1512,14.9955,1366,node
node,Somalia,5.1521,46.1996,328,node
node,South Africa,-30.5595,22.9375,3953,node
node,Spain,40.0,-4.0,213024,node
node,Sri Lanka,7.0,81.0,368,node
node,Sudan,12.8628,30.2176,174,node
node,Suriname,3.9193,-56.0278,10,node
node,Sweden,63.0,16.0,16755,node
node,Switzerland,46.8182,8.2275,28496,node
node,Taiwan*,23.7,121.0,427,node
node,Tanzania,-6.369,34.8888,284,node
node,Thailand,15.0,101.0,2839,node
node,Togo,8.6195,0.8248,88,node
node,Trinidad and Tobago,10.6918,-61.2225,115,node
node,Tunisia,34.0,9.0,918,node
node,Turkey,38.9637,35.2433,101790,node
node,Uganda,1.0,32.0,74,node
node,Ukraine,48.3794,31.1656,7170,node
node,United Arab Emirates,24.0,54.0,8756,node
node,United Kingdom,32.3078,-64.7505,99,node
node,United Kingdom,19.3133,-81.2546,66,node
node,United Kingdom,49.3723,-2.3644,521,node
node,United Kingdom,36.1408,-5.3536,133,node
node,United Kingdom,54.2361,-4.5481,307,node
