New Caledonia,France,-20.9043,165.618,18,0,79
Reunion,France,-21.1351,55.2471,402,0,83114
Saint Barthelemy,France,17.9,-62.8333,6,0,83
St Martin,France,18.0708,-63.0501,35,2,6
Martinique,France,14.6415,-61.0242,158,8,269
,France,46.2276,2.2137,147969,18681,21
,Gabon,-0.8037,11.6094,108,1,59
,Gambia,13.4432,-15.3101,9,1,0
,Georgia,42.3154,43.3569,370,3,9
,Germany,51.0,9.0,141397,4352,0
,Ghana,7.9465,-1.0232,641,8,2
,Greece,39.0742,21.8243,2224,108,10
,Guatemala,15.7835,-90.2308,214,7,207
,Guinea,9.9456,-9.6966,477,3,1224
,Guyana,5.0,-58.75,63,6,2041
,Haiti,18.9712,-72.2852,43,3,607
,Holy See,41.9029,12.4534,8,0,54064
,Honduras,15.2,-86.2419,442,41,906
,Hungary,47.1625,19.5033,1763,156,77
,Iceland,64.9631,-19.0208,1754,9,3126
,India,21.0,78.0,14352,486,42727
,Indonesia,-0.7893,113.9213,5923,520,25
,Iran,32.0,53.0,79494,4958,935
,Iraq,33.0,44.0,1482,81,265
,Ireland,53.1424,-7.6921,13980,530,347
,Israel,31.0,35.0,12982,151,53
,Italy,43.0,12.0,172434,22745,7829
,Jamaica,18.1096,-77.2975,143,5,258
,Japan,36.0,138.0,9787,190,114
,Jordan,31.24,36.51,407,7,88
,Kazakhstan,48.0196,66.9237,1546,17,86
,Kenya,-0.0236,37.9062,246,11,7
,"Korea, South",36.0,128.0,10635,230,11
,Kuwait,29.5,47.75,1658,5,55
,Kyrgyzstan,41.2044,74.7661,489,5,210
,Latvia,56.8796,24.6032,682,5,579
,Lebanon,33.8547,35.8623,668,21,33
,Liberia,6.4281,-9.4295,76,7,2967
,Liechtenstein,47.14,9.55,79,1,16
,Lithuania,55.1694,23.8813,1149,33,34
,Luxembourg,49.8153,6.1296,3480,72,91
,Madagascar,-18.7669,46.8691,117,0,2
,Malaysia,2.5,112.5,5251,86,108
,Maldives,3.2028,73.2207,28,0,2125
,Malta,35.9375,14.3754,422,3,276
,Mauritania,21.0079,10.9408,7,1,20
,Mauritius,-20.2,57.5,324,9,5
,Mexico,23.6345,-102.5528,6297,486,55
,Moldova,47.4116,28.3699,2264,56,281
,Monaco,43.7333,7.4167,94,3,2
,Mongolia,46.8625,103.8467,31,0,4
,Montenegro,42.5,19.3,303,5,2
,Morocco,31.7917,-7.0926,2564,135,43
,Namibia,-22.9576,18.4904,16,0,10
,Nepal,28.1667,84.25,30,0,12
Aruba,Netherlands,12.5186,-70.0358,96,2,250
Curacao,Netherlands,12.1696,-68.99,14,1,816
Sint Maarten,Netherlands,18.0425,-63.0548,57,9,4
,Netherlands,52.1326,5.2913,30449,3459,110
,New Zealand,-40.9006,174.886,1409,11,159
,Nicaragua,12.8654,-85.2072,9,1,139
,Niger,17.6078,8.0817,627,18,32
,Nigeria,9.082,8.6753,493,17,176
,North Macedonia,41.6086,21.7453,1117,49,1765
,Norway,60.472,8.4689,6937,161,98
,Oman,21.0,57.0,1069,6,0
,Pakistan,30.3753,69.3451,7025,135,30
,Panama,8.538,-80.7821,4016,109,6541
,Papua New Guinea,-6.315,143.9555,7,0,487
,Paraguay,-23.4425,-58.4438,199,8,866
,Peru,-9.19,-75.0152,13489,300,519
,Philippines,13.0,122.0,5878,387,464
,Poland,51.9194,19.1451,8379,332,1508
,Portugal,39.3999,-8.2245,19022,657,2590
,Qatar,25.3548,51.1839,4663,7,65
,Romania,45.9432,24.9668,8067,411,0
,Russia,60.0,90.0,32008,273,11
,Rwanda,-1.9403,29.8739,143,0,1
,Saint Lucia,13.9094,-60.9789,15,0,57
,Saint Vincent and the Grenadines,12.9843,-61.2872,12,0,1049
,San Marino,43.9424,12.4578,435,39,198
,Saudi Arabia,24.0,45.0,7142,87,534
,Senegal,14.4974,-14.4524,342,2,5
,Serbia,44.0165,21.0059,5690,110,708
,Seychelles,-4.6796,55.492,11,0,175
,Singapore,1.2833,103.8333,5050,11,174
,Slovakia,48.669,19.699,1049,9,2
,Slovenia,46.1512,14.9955,1304,66,903
,Somalia,5.1521,46.1996,116,6,74797
,South Africa,-30.5595,22.9375,2783,50,77
,Spain,40.0,-4.0,190839,20002,4
,Sri Lanka,7.0,81.0,244,7,6
,Sudan,12.8628,30.2176,33,6,550
,Suriname,3.9193,-56.0278,10,1,16400
,Sweden,63.0,16.0,13216,1400,5
,Switzerland,46.8182,8.2275,27078,1327,166
,Taiwan*,23.7,121.0,395,6,11
,Tanzania,-6.369,34.8888,147,5,1689
,Thailand,15.0,101.0,2700,47,1
,Togo,8.6195,0.8248,83,5,48
,Trinidad and Tobago,10.6918,-61.2225,114,8,20
,Tunisia,34.0,9.0,864,37,43
,Turkey,38.9637,35.2433,78546,1769,8631
